date,nav,amfi_code,scheme_name
02-07-2026,169.77640,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
01-07-2026,168.58690,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
30-06-2026,167.60550,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
29-06-2026,168.14350,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
25-06-2026,168.91470,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
24-06-2026,168.67520,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
23-06-2026,167.29300,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
22-06-2026,169.19660,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
19-06-2026,168.56920,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
18-06-2026,169.33450,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
17-06-2026,168.75810,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
16-06-2026,168.08230,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
15-06-2026,167.13570,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
12-06-2026,165.52120,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
11-06-2026,162.23510,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
10-06-2026,162.60690,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
09-06-2026,162.79740,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
08-06-2026,161.96540,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
05-06-2026,163.67130,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
04-06-2026,163.94770,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
03-06-2026,163.87190,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
02-06-2026,164.41720,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
01-06-2026,163.71320,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
29-05-2026,164.86820,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
27-05-2026,167.35450,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
26-05-2026,167.40080,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
25-05-2026,168.22630,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
22-05-2026,165.98580,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
21-05-2026,165.46650,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
20-05-2026,165.49710,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
19-05-2026,165.21130,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
18-05-2026,165.43510,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
15-05-2026,165.39210,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
14-05-2026,165.60520,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
13-05-2026,163.66960,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
12-05-2026,163.43900,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
11-05-2026,166.48940,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
08-05-2026,169.01070,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
07-05-2026,170.06370,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
06-05-2026,170.09480,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
05-05-2026,168.01270,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
04-05-2026,168.61840,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
30-04-2026,167.77110,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
29-04-2026,169.03070,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
28-04-2026,167.76010,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
27-04-2026,168.43870,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
24-04-2026,167.08010,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
23-04-2026,168.96560,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
22-04-2026,170.39960,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
21-04-2026,171.78820,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
20-04-2026,170.30890,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
17-04-2026,170.23220,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
16-04-2026,169.13730,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
15-04-2026,169.37980,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
13-04-2026,166.66520,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
10-04-2026,168.12130,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
09-04-2026,166.19680,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
08-04-2026,167.75130,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
07-04-2026,161.64670,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
06-04-2026,160.55730,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
02-04-2026,158.77890,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
01-04-2026,158.54490,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
31-03-2026,156.11600,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
30-03-2026,156.11660,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
27-03-2026,159.52910,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
25-03-2026,162.93530,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
24-03-2026,160.18190,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
23-03-2026,157.39080,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
20-03-2026,161.60640,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
19-03-2026,160.82180,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
18-03-2026,166.24570,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
17-03-2026,164.87220,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
16-03-2026,163.66840,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
13-03-2026,161.86890,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
12-03-2026,165.28130,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
11-03-2026,166.87420,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
10-03-2026,169.63520,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
09-03-2026,168.00440,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
06-03-2026,170.95990,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
05-03-2026,173.15380,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
04-03-2026,171.16000,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
02-03-2026,173.85360,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
27-02-2026,176.04380,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
26-02-2026,178.26520,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
25-02-2026,178.16820,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
24-02-2026,177.76520,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
23-02-2026,179.78080,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
20-02-2026,178.79250,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
19-02-2026,177.97710,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
18-02-2026,180.52800,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
17-02-2026,179.85360,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
16-02-2026,179.55660,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
13-02-2026,178.07850,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
12-02-2026,180.42830,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
11-02-2026,181.45390,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
10-02-2026,181.32440,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
09-02-2026,180.85120,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
06-02-2026,179.61890,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
05-02-2026,179.23690,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
04-02-2026,180.15030,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
03-02-2026,179.81290,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
02-02-2026,175.34930,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
30-01-2026,176.97470,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
29-01-2026,177.66200,120716,UTI Nifty 50 Index Fund - Growth Option- Direct
